technique_id,technique_name,visibility_gap_any_tactic,status,sources_seen
T1001,Data Obfuscation,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1001.001,Junk Data,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1001.002,Steganography,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1001.003,Protocol or Service Impersonation,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1003,OS Credential Dumping,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1003.001,LSASS Memory,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1003.002,Security Account Manager,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1003.003,NTDS,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1003.004,LSA Secrets,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1003.005,Cached Domain Credentials,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1003.006,DCSync,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
