technique_id,technique_name,is_subtechnique,parent_technique_id,tactics_csv,platforms_csv
T1001,Data Obfuscation,false,,command-and-control,"ESXi,Linux,Windows,macOS"
T1001.001,Junk Data,true,T1001,command-and-control,"ESXi,Linux,Windows,macOS"
T1001.002,Steganography,true,T1001,command-and-control,"ESXi,Linux,Windows,macOS"
T1001.003,Protocol or Service Impersonation,true,T1001,command-and-control,"ESXi,Linux,Windows,macOS"
T1003,OS Credential Dumping,false,,credential-access,"Linux,Windows,macOS"
T1003.001,LSASS Memory,true,T1003,credential-access,Windows
T1003.002,Security Account Manager,true,T1003,credential-access,Windows
T1003.003,NTDS,true,T1003,credential-access,Windows
T1003.004,LSA Secrets,true,T1003,credential-access,Windows
T1003.005,Cached Domain Credentials,true,T1003,credential-access,"Linux,Windows"
T1003.006,DCSync,true,T1003,credential-access,Windows
T1003.007,Proc Filesystem,true,T1003,credential-access,Linux
T1003.008,/etc/passwd and /etc/shadow,true,T1003,credential-access,Linux
T1005,Data from Local System,false,,collection,"ESXi,Linux,Network Devices,Windows,macOS"
T1006,Direct Volume Access,false,,defense-evasion,"Network Devices,Windows"
T1007,System Service Discovery,false,,discovery,"Linux,Windows,macOS"
T1008,Fallback Channels,false,,command-and-control,"ESXi,Linux,Windows,macOS"
T1010,Application Window Discovery,false,,discovery,"Linux,Windows,macOS"
T1011,Exfiltration Over Other Network Medium,false,,exfiltration,"Linux,Windows,macOS"
T1011.001,Exfiltration Over Bluetooth,true,T1011,exfiltration,"Linux,Windows,macOS"
T1012,Query Registry,false,,discovery,Windows
T1014,Rootkit,false,,defense-evasion,"Linux,Windows,macOS"
T1016,System Network Configuration Discovery,false,,discovery,"ESXi,Linux,Network Devices,Windows,macOS"
T1016.001,Internet Connection Discovery,true,T1016,discovery,"ESXi,Linux,Windows,macOS"
T1016.002,Wi-Fi Discovery,true,T1016,discovery,"Linux,Windows,macOS"
T1018,Remote System Discovery,false,,discovery,"ESXi,Linux,Network Devices,Windows,macOS"
T1020,Automated Exfiltration,false,,exfiltration,"Linux,Network Devices,Windows,macOS"
T1020.001,Traffic Duplication,true,T1020,exfiltration,"IaaS,Network Devices"
T1021,Remote Services,false,,lateral-movement,"ESXi,IaaS,Linux,Windows,macOS"
T1021.001,Remote Desktop Protocol,true,T1021,lateral-movement,Windows
T1021.002,SMB/Windows Admin Shares,true,T1021,lateral-movement,Windows
T1021.003,Distributed Component Object Model,true,T1021,lateral-movement,Windows
T1021.004,SSH,true,T1021,lateral-movement,"ESXi,Linux,macOS"
T1021.005,VNC,true,T1021,lateral-movement,"Linux,Windows,macOS"
T1021.006,Windows Remote Management,true,T1021,lateral-movement,Windows
T1021.007,Cloud Services,true,T1021,lateral-movement,"IaaS,Identity Provider,Office Suite,SaaS"
T1021.008,Direct Cloud VM Connections,true,T1021,lateral-movement,IaaS
T1025,Data from Removable Media,false,,collection,"Linux,Windows,macOS"
T1027,Obfuscated Files or Information,false,,defense-evasion,"ESXi,Linux,Network Devices,Windows,macOS"
T1027.001,Binary Padding,true,T1027,defense-evasion,"Linux,Windows,macOS"
T1027.002,Software Packing,true,T1027,defense-evasion,"Linux,Windows,macOS"
T1027.003,Steganography,true,T1027,defense-evasion,"Linux,Windows,macOS"
T1027.004,Compile After Delivery,true,T1027,defense-evasion,"Linux,Windows,macOS"
T1027.005,Indicator Removal from Tools,true,T1027,defense-evasion,"Linux,Windows,macOS"
T1027.006,HTML Smuggling,true,T1027,defense-evasion,"Linux,Windows,macOS"
T1027.007,Dynamic API Resolution,true,T1027,defense-evasion,Windows
T1027.008,Stripped Payloads,true,T1027,defense-evasion,"Linux,Network Devices,Windows,macOS"
T1027.009,Embedded Payloads,true,T1027,defense-evasion,"Linux,Windows,macOS"
T1027.010,Command Obfuscation,true,T1027,defense-evasion,"Linux,Windows,macOS"
T1027.011,Fileless Storage,true,T1027,defense-evasion,"Linux,Windows"
T1027.012,LNK Icon Smuggling,true,T1027,defense-evasion,Windows
T1027.013,Encrypted/Encoded File,true,T1027,defense-evasion,"Linux,Windows,macOS"
T1027.014,Polymorphic Code,true,T1027,defense-evasion,"Linux,Windows,macOS"
T1027.015,Compression,true,T1027,defense-evasion,"Linux,Windows,macOS"
T1027.016,Junk Code Insertion,true,T1027,defense-evasion,"Linux,Windows,macOS"
T1027.017,SVG Smuggling,true,T1027,defense-evasion,"Linux,Windows,macOS"
T1029,Scheduled Transfer,false,,exfiltration,"Linux,Windows,macOS"
T1030,Data Transfer Size Limits,false,,exfiltration,"ESXi,Linux,Windows,macOS"
T1033,System Owner/User Discovery,false,,discovery,"Linux,Network Devices,Windows,macOS"
T1036,Masquerading,false,,defense-evasion,"Containers,ESXi,Linux,Windows,macOS"
T1036.001,Invalid Code Signature,true,T1036,defense-evasion,"Windows,macOS"
T1036.002,Right-to-Left Override,true,T1036,defense-evasion,"Linux,Windows,macOS"
T1036.003,Rename Legitimate Utilities,true,T1036,defense-evasion,"Linux,Windows,macOS"
T1036.004,Masquerade Task or Service,true,T1036,defense-evasion,"Linux,Windows,macOS"
T1036.005,Match Legitimate Resource Name or Location,true,T1036,defense-evasion,"Containers,ESXi,Linux,Windows,macOS"
T1036.006,Space after Filename,true,T1036,defense-evasion,"Linux,macOS"
T1036.007,Double File Extension,true,T1036,defense-evasion,Windows
T1036.008,Masquerade File Type,true,T1036,defense-evasion,"Linux,Windows,macOS"
T1036.009,Break Process Trees,true,T1036,defense-evasion,"Linux,macOS"
T1036.010,Masquerade Account Name,true,T1036,defense-evasion,"Containers,IaaS,Identity Provider,Linux,Office Suite,SaaS,Windows,macOS"
T1036.011,Overwrite Process Arguments,true,T1036,defense-evasion,Linux
